Ewe/V	<I>/mA	
1,0024215E-001	1,732632514892720E+001
1,0020394E-001	1,732781389980405E+001
1,0024979E-001	1,732627657180806E+001
1,0020393E-001	1,732438794070261E+001
1,0025743E-001	1,732358753823183E+001
1,0028036E-001	1,732561604437133E+001
1,0021158E-001	1,732523981717371E+001
1,0019247E-001	1,732326046989471E+001
1,0024215E-001	1,732207739529512E+001
1,0021540E-001	1,732394980516298E+001
1,0025743E-001	1,732744392184365E+001
1,0025743E-001	1,731275588016706E+001
1,0022304E-001	1,731555355327240E+001
1,0029182E-001	1,731796258996961E+001
1,0026125E-001	1,732244860654717E+001
1,0023451E-001	1,728709586860880E+001
1,0021540E-001	1,719554278592793E+001
1,0024597E-001	1,720804840452998E+001
1,0022304E-001	1,721901048709756E+001
1,0021922E-001	1,722489716517901E+001
1,0024597E-001	1,722742335886160E+001
1,0023069E-001	1,723022137185648E+001
1,0021923E-001	1,723215393759438E+001
1,0024597E-001	1,723347866106230E+001
1,0025743E-001	1,723371955309719E+001
1,0020776E-001	1,722880239599055E+001
1,0029182E-001	1,723126654857966E+001
1,0024597E-001	1,723353613634451E+001
1,0023069E-001	1,723589293533898E+001
1,0018865E-001	1,723310321587764E+001
1,0021158E-001	1,723142493939176E+001
1,0023832E-001	1,723402697269114E+001
1,0024979E-001	1,723688117388934E+001
1,0025361E-001	1,723798315412653E+001
1,0023832E-001	1,723443947613479E+001
1,0022686E-001	1,723415156909931E+001
1,0023451E-001	1,723681595591589E+001
1,0020393E-001	1,723990336405968E+001
1,0020776E-001	1,723300340126941E+001
1,0020776E-001	1,723028597909688E+001
1,0020012E-001	1,723263825080852E+001
1,0029182E-001	1,723437957775681E+001
1,0024215E-001	1,723366863489827E+001
1,0022304E-001	1,722838726078719E+001
1,0024979E-001	1,723292563637487E+001
1,0024597E-001	1,723278025596958E+001
1,0026126E-001	1,723574869819850E+001
1,0031474E-001	1,723094165919767E+001
1,0021922E-001	1,722912189367928E+001
1,0022686E-001	1,722990413399446E+001
1,0027272E-001	1,723407439891609E+001
1,0023450E-001	1,723467856915840E+001
1,0023068E-001	1,722825283428539E+001
1,0023832E-001	1,723058893282462E+001
1,0020775E-001	1,723280078285609E+001
1,0026508E-001	1,723452983944884E+001
1,0031475E-001	1,723118614963659E+001
1,0026507E-001	1,723387875262514E+001
1,0026126E-001	1,723515073027263E+001
1,0023450E-001	1,723694424762140E+001
1,0026889E-001	1,723437515385228E+001
1,0026125E-001	1,723203480612165E+001
1,0026507E-001	1,723224933478307E+001
1,0023068E-001	1,724386390760150E+001
1,0023451E-001	1,724765795829549E+001
1,0027654E-001	1,724467923507572E+001
1,0028800E-001	1,724682621236384E+001
1,0027654E-001	1,725013711332639E+001
1,0023832E-001	1,725230781574329E+001
1,0022304E-001	1,724945843060050E+001
1,0024215E-001	1,724515725709097E+001
1,0023450E-001	1,724793208054058E+001
1,0028418E-001	1,725097078835050E+001
1,0023832E-001	1,725148081491368E+001
1,0025743E-001	1,724777184112613E+001
1,0021540E-001	1,724970372708497E+001
1,0026507E-001	1,725214959468521E+001
1,0023451E-001	1,725442464013758E+001
1,0028800E-001	1,725130943925322E+001
1,0026507E-001	1,725156809175609E+001
1,0023451E-001	1,725516562984136E+001
1,0027654E-001	1,725727731850860E+001
1,0022304E-001	1,725833629261066E+001
1,0021922E-001	1,725307366773712E+001
1,0023832E-001	1,725584609250503E+001
1,0028800E-001	1,725601135587591E+001
