Ewe/V	<I>/mA	
2,0091641E-001	1,360166226255220E+002
2,0087063E-001	1,353645542252603E+002
2,0085919E-001	1,354393688969501E+002
2,0088206E-001	1,356039144577475E+002
2,0091641E-001	1,357640330042729E+002
2,0087826E-001	1,354547880715340E+002
2,0085917E-001	1,355288214535312E+002
2,0086682E-001	1,358260766398735E+002
2,0086682E-001	1,360898307480990E+002
2,0087063E-001	1,359799946430293E+002
2,0090117E-001	1,357606221124631E+002
2,0092787E-001	1,359980021752226E+002
2,0085156E-001	1,362438594690311E+002
2,0085154E-001	1,363327038712999E+002
2,0087826E-001	1,359708885514907E+002
2,0082484E-001	1,360346079622801E+002
2,0089352E-001	1,362836248234292E+002
2,0085536E-001	1,364672604176678E+002
2,0088971E-001	1,362432654504614E+002
2,0085917E-001	1,360522273169732E+002
2,0083629E-001	1,362771460909657E+002
2,0085917E-001	1,364950147152439E+002
2,0081340E-001	1,364916580043437E+002
2,0086682E-001	1,361371524472925E+002
2,0085537E-001	1,362275619680090E+002
2,0087063E-001	1,364716658163387E+002
2,0085154E-001	1,366090831782086E+002
2,0087063E-001	1,363117393291443E+002
2,0088971E-001	1,361804187295134E+002
2,0089734E-001	1,363993642337016E+002
2,0090878E-001	1,366048773095721E+002
2,0089734E-001	1,364985118161624E+002
2,0084393E-001	1,361821608865398E+002
2,0089352E-001	1,362876652227012E+002
2,0090497E-001	1,365335489050602E+002
2,0087443E-001	1,366143056118122E+002
2,0085537E-001	1,362753819704377E+002
2,0088971E-001	1,362010693525937E+002
2,0090879E-001	1,364247692422780E+002
2,0084774E-001	1,366129804897084E+002
2,0084010E-001	1,364260500223396E+002
2,0091641E-001	1,361591586673308E+002
2,0088971E-001	1,362810042758776E+002
2,0090117E-001	1,365266271824732E+002
2,0085917E-001	1,365417109841238E+002
2,0090115E-001	1,361943310498111E+002
2,0092024E-001	1,361810063210810E+002
2,0092024E-001	1,364118515173423E+002
2,0083629E-001	1,365867875660731E+002
2,0087826E-001	1,363296414383612E+002
2,0086300E-001	1,361368477292672E+002
2,0088208E-001	1,362826121647122E+002
2,0086300E-001	1,365366512610956E+002
2,0087826E-001	1,364853030359215E+002
2,0086680E-001	1,361603232456073E+002
2,0087826E-001	1,361881785929907E+002
2,0087826E-001	1,364261676523475E+002
2,0088208E-001	1,365754200303855E+002
2,0087826E-001	1,362520925652864E+002
2,4209417E-001	1,728729291718250E+002
2,5106460E-001	1,706804755977622E+002
2,5107223E-001	1,691814115736866E+002
2,5109130E-001	1,693084408066320E+002
2,5102645E-001	1,690787433215813E+002
2,5101882E-001	1,686897429730092E+002
2,5101119E-001	1,688195182875669E+002
2,5102264E-001	1,692396367460559E+002
2,5105697E-001	1,694893866791230E+002
2,5100738E-001	1,691033815637809E+002
2,5103790E-001	1,691216508818693E+002
2,5106081E-001	1,694091255107136E+002
2,5103790E-001	1,698084147053708E+002
2,5104553E-001	1,695867274286524E+002
2,5105697E-001	1,693439477380709E+002
2,5103027E-001	1,695090361119924E+002
2,5105697E-001	1,698802940589933E+002
2,5104934E-001	1,699942260778626E+002
2,5103790E-001	1,695162882056815E+002
2,5102264E-001	1,695619294940659E+002
2,5100356E-001	1,698009017107962E+002
2,5099975E-001	1,701390631939483E+002
2,5101501E-001	1,697716449656724E+002
2,5105697E-001	1,695742284323649E+002
2,5102264E-001	1,697399410860873E+002
2,5104934E-001	1,700911340942267E+002
2,5100738E-001	1,700986525667067E+002
2,5103408E-001	1,696190944216575E+002
2,5104171E-001	1,697269032287022E+002
2,5106460E-001	1,699785411256842E+002
2,5103027E-001	1,702859901111121E+002
2,5101119E-001	1,698280988947108E+002
2,5104171E-001	1,697085217096832E+002
2,5104555E-001	1,698937665813062E+002
2,5103408E-001	1,702242958834794E+002
2,5104171E-001	1,701246064003702E+002
2,5105315E-001	1,696762919816962E+002
2,5099212E-001	1,698285587580037E+002
2,5101119E-001	1,700429518817058E+002
2,5106844E-001	1,702881919422224E+002
2,5104553E-001	1,697456902714132E+002
2,5102645E-001	1,697178652371409E+002
2,5104553E-001	1,699098354476790E+002
2,5106460E-001	1,702332921544586E+002
2,5104171E-001	1,700242408003006E+002
2,5106081E-001	1,696378448097044E+002
2,5105697E-001	1,698260285485892E+002
2,5104171E-001	1,700644742852037E+002
2,5099593E-001	1,702575263835864E+002
2,5103408E-001	1,696691732193093E+002
2,5103027E-001	1,697164744778285E+002
2,5103408E-001	1,699234286426024E+002
2,5101882E-001	1,702298171360602E+002
2,5099212E-001	1,699137084702378E+002
2,5104171E-001	1,696044013335178E+002
2,5103790E-001	1,698226695305600E+002
2,5099975E-001	1,700737722621231E+002
2,5103790E-001	1,701911943842301E+002
2,5103027E-001	1,696035003905018E+002
2,5106081E-001	1,697240216734537E+002
2,5107223E-001	1,699505340995902E+002
2,9212028E-001	2,023072866048526E+002
3,0098766E-001	2,043313095533225E+002
3,0097240E-001	2,022772546186202E+002
3,0102965E-001	2,018280697073705E+002
3,0094570E-001	2,021022264953022E+002
3,0093807E-001	2,024332594473904E+002
3,0101436E-001	2,025156374096765E+002
3,0095714E-001	2,019076286846001E+002
3,0098385E-001	2,022373991183458E+002
3,0095333E-001	2,026480101730303E+002
3,0094951E-001	2,030640026823184E+002
3,0096859E-001	2,025272109237628E+002
3,0097240E-001	2,024087405167173E+002
3,0099148E-001	2,028161690456865E+002
3,0094951E-001	2,031946147705789E+002
3,0099910E-001	2,031436933367974E+002
3,0098385E-001	2,025330284623619E+002
3,0101821E-001	2,028427540347614E+002
3,0096477E-001	2,031941695007922E+002
3,0098385E-001	2,034813082226456E+002
3,0099529E-001	2,028174980313158E+002
3,0098766E-001	2,027498882792416E+002
3,0100676E-001	2,031342467697863E+002
3,0098385E-001	2,034677419625373E+002
3,0097622E-001	2,032579384477157E+002
3,0101439E-001	2,027176301515956E+002
3,0096859E-001	2,030447675133755E+002
3,0098766E-001	2,033925880391299E+002
3,0097622E-001	2,035773702764639E+002
3,0095333E-001	2,028854780867441E+002
3,0099529E-001	2,029113901998254E+002
3,0098766E-001	2,033006626339757E+002
3,0100673E-001	2,036089268660062E+002
3,0098003E-001	2,032650631915480E+002
3,0098003E-001	2,028328963898591E+002
3,0099529E-001	2,031773298305671E+002
3,0099148E-001	2,035283205651418E+002
3,0099148E-001	2,035858614143738E+002
3,0098003E-001	2,029053573352931E+002
3,0100292E-001	2,029928533885289E+002
3,0096096E-001	2,033846292712287E+002
3,0099913E-001	2,036507108941614E+002
3,0096477E-001	2,031877953276576E+002
3,0098766E-001	2,028561689978689E+002
3,0097622E-001	2,032166997076602E+002
3,0097622E-001	2,035620489870144E+002
3,0098385E-001	2,034815671581990E+002
3,0098003E-001	2,028708587595925E+002
3,0099529E-001	2,030037655103866E+002
3,0101055E-001	2,033979662893879E+002
3,0097622E-001	2,036092775923335E+002
3,0094570E-001	2,030628373258437E+002
3,0098766E-001	2,028593301795894E+002
3,0098766E-001	2,032434235273051E+002
3,0097622E-001	2,035838741035325E+002
3,0096859E-001	2,033725078842037E+002
3,0097622E-001	2,028626631539167E+002
3,0099529E-001	2,030524298853952E+002
3,0098003E-001	2,034553205877118E+002
3,0098003E-001	2,035777543707119E+002
3,4205097E-001	2,029954499323893E+002
3,4894571E-001	2,428425812079618E+002
3,5093746E-001	2,363590550248870E+002
3,5091835E-001	2,354778037941287E+002
3,5095650E-001	2,357663098377939E+002
3,5096034E-001	2,353098414546805E+002
3,5090691E-001	2,348029805379455E+002
3,5093361E-001	2,351635776967131E+002
3,5092217E-001	2,357985638455667E+002
3,5092983E-001	2,359469958225830E+002
3,5096413E-001	2,353114904171245E+002
3,5094509E-001	2,353949368547794E+002
3,5096416E-001	2,359881216201307E+002
3,5091072E-001	2,364288595463038E+002
3,5096034E-001	2,359016678520776E+002
3,5089165E-001	2,355870119267703E+002
3,5095653E-001	2,359683185220963E+002
3,5091072E-001	2,365394686341810E+002
3,5094124E-001	2,364368402105679E+002
3,5093361E-001	2,357843416131517E+002
3,5091454E-001	2,358910628377716E+002
3,5090691E-001	2,364480296273545E+002
3,5094509E-001	2,367743593597193E+002
3,5089165E-001	2,360600089968247E+002
3,5091075E-001	2,358665164656915E+002
3,5095271E-001	2,362576828390986E+002
3,5095650E-001	2,368161150645095E+002
3,5094509E-001	2,365162851619156E+002
3,5096034E-001	2,359508778203617E+002
3,5096794E-001	2,361188279344678E+002
3,5090309E-001	2,366700336979042E+002
3,5091072E-001	2,369160469060232E+002
3,5093743E-001	2,360985798382532E+002
3,5096031E-001	2,360261020959437E+002
3,5092598E-001	2,364341454747820E+002
3,5092980E-001	2,369666673296653E+002
3,5094127E-001	2,364826862200268E+002
3,5093361E-001	2,360256545556492E+002
3,5091072E-001	2,362514723012220E+002
3,5092983E-001	2,367965351750989E+002
3,5097179E-001	2,369387595408743E+002
3,5095650E-001	2,360846830300408E+002
3,5096794E-001	2,361198561418912E+002
3,5092980E-001	2,365403438661367E+002
3,5091835E-001	2,370345046391183E+002
